  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000  -0.0000   0.00000  -0.00020   0.0000   0.0000   0.0000   0.0000   0.0000
   0.500   0.0604   0.00000  -0.00021  -0.0007   0.0000   0.0000   0.0000   0.0000
   1.000   0.1209   0.00000  -0.00021  -0.0014   0.0000   0.0000   0.0000   0.0000
   1.500   0.1813   0.00000  -0.00021  -0.0021   0.0000   0.0000   0.0000   0.0000
   2.000   0.2417   0.00000  -0.00021  -0.0028   0.0000   0.0000   0.0000   0.0000
   2.500   0.3021   0.00000  -0.00022  -0.0036   0.0000   0.0000   0.0000   0.0000
   3.000   0.3625   0.00000  -0.00022  -0.0043   0.0000   0.0000   0.0000   0.0000
   3.500   0.4228   0.00000  -0.00022  -0.0050   0.0000   0.0000   0.0000   0.0000
   4.000   0.4831   0.00000  -0.00023  -0.0057   0.0000   0.0000   0.0000   0.0000
   4.500   0.5434   0.00000  -0.00024  -0.0064   0.0000   0.0000   0.0000   0.0000
   5.000   0.6036   0.00000  -0.00025  -0.0071   0.0000   0.0000   0.0000   0.0000
   5.500   0.6638   0.00000  -0.00025  -0.0078   0.0000   0.0000   0.0000   0.0000
   6.000   0.7240   0.00000  -0.00026  -0.0085   0.0000   0.0000   0.0000   0.0000
   6.500   0.7841   0.00000  -0.00027  -0.0092   0.0000   0.0000   0.0000   0.0000
   7.000   0.8441   0.00000  -0.00028  -0.0099   0.0000   0.0000   0.0000   0.0000
   7.500   0.9040   0.00000  -0.00030  -0.0105   0.0000   0.0000   0.0000   0.0000
   8.000   0.9639   0.00000  -0.00031  -0.0112   0.0000   0.0000   0.0000   0.0000
   8.500   1.0237   0.00000  -0.00032  -0.0119   0.0000   0.0000   0.0000   0.0000
   9.000   1.0835   0.00000  -0.00033  -0.0126   0.0000   0.0000   0.0000   0.0000
   9.500   1.1431   0.00000  -0.00035  -0.0133   0.0000   0.0000   0.0000   0.0000
  10.000   1.2027   0.00000  -0.00036  -0.0139   0.0000   0.0000   0.0000   0.0000
