#      x          Cp  
     1.00000    0.40996
     0.98625    0.19040
     0.96622    0.12215
     0.94271    0.06436
     0.91744    0.01902
     0.89150   -0.01931
     0.86532   -0.05289
     0.83905   -0.08330
     0.81275   -0.11153
     0.78642   -0.13828
     0.76008   -0.16402
     0.73374   -0.18915
     0.70740   -0.21393
     0.68106   -0.23861
     0.65473   -0.26337
     0.62842   -0.28840
     0.60213   -0.31384
     0.57586   -0.33982
     0.54962   -0.36647
     0.52342   -0.39392
     0.49727   -0.42226
     0.47117   -0.45164
     0.44513   -0.48215
     0.41915   -0.51394
     0.39326   -0.54715
     0.36746   -0.58192
     0.34177   -0.61846
     0.31621   -0.65698
     0.29079   -0.69775
     0.26555   -0.74113
     0.24051   -0.78756
     0.21574   -0.83762
     0.19130   -0.89211
     0.16730   -0.95204
     0.14389   -1.01877
     0.12137   -1.09387
     0.10017   -1.17886
     0.08093   -1.27435
     0.06427   -1.37913
     0.05047   -1.49016
     0.03938   -1.60396
     0.03054   -1.71750
     0.02344   -1.82762
     0.01769   -1.92955
     0.01299   -2.01465
     0.00915   -2.06707
     0.00604   -2.05918
     0.00360   -1.94852
     0.00179   -1.68381
     0.00062   -1.24075
     0.00007   -0.67388
     0.00007   -0.11569
     0.00062    0.38107
     0.00179    0.74150
     0.00360    0.93610
     0.00604    0.99881
     0.00915    0.97877
     0.01299    0.91370
     0.01769    0.82663
     0.02344    0.73019
     0.03054    0.63105
     0.03938    0.53285
     0.05047    0.43821
     0.06427    0.34992
     0.08093    0.27111
     0.10017    0.20418
     0.12137    0.14965
     0.14389    0.10633
     0.16730    0.07232
     0.19130    0.04578
     0.21574    0.02519
     0.24051    0.00934
     0.26555   -0.00268
     0.29079   -0.01160
     0.31621   -0.01800
     0.34177   -0.02233
     0.36746   -0.02495
     0.39326   -0.02615
     0.41915   -0.02617
     0.44513   -0.02522
     0.47117   -0.02344
     0.49727   -0.02097
     0.52342   -0.01790
     0.54962   -0.01431
     0.57586   -0.01025
     0.60213   -0.00576
     0.62842   -0.00085
     0.65473    0.00448
     0.68106    0.01027
     0.70740    0.01656
     0.73374    0.02345
     0.76008    0.03105
     0.78642    0.03954
     0.81275    0.04915
     0.83905    0.06024
     0.86532    0.07331
     0.89150    0.08916
     0.91744    0.10911
     0.94271    0.13526
     0.96622    0.17249
     0.98625    0.22150
     1.00000    0.40996
